Hour, Load
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-493.86
9,-861.12
10,-1088.19
11,-1177.28
12,-1144.49
13,-1016.43
14,-826.04
15,-608.04
16,-394.64
17,-211.98
18,-77.74
19,-0.01
20,-0.01
21,-1.10
22,-56.01
23,-124.81
24,-190.29
25,-238.05
26,-258.47
27,-247.75
28,-207.94
29,-146.12
30,-72.81
31,-0.01
32,-0.01
33,-0.01
34,-0.01
35,-0.01
36,-0.01
37,-0.01
38,-19.32
39,-59.61
40,-82.49
41,-81.27
42,-53.20
43,-0.01
44,-0.01
45,-0.01
46,-0.01
47,-0.01
48,-0.01
49,-0.01
50,-0.01
51,-0.01
52,-0.01
53,-0.01
54,-0.01
55,-0.01
56,-60.50
57,-97.15
58,-107.37
59,-92.87
60,-59.33
61,-15.39
62,-0.01
63,-0.01
64,-0.01
65,-0.01
66,-0.01
67,-0.01
68,-58.28
69,-117.80
70,-167.78
71,-198.69
72,-204.22
73,-182.69
74,-137.91
75,-79.12
76,-19.95
77,-0.01
78,-0.01
79,-0.01
80,-88.34
81,-230.85
82,-418.89
83,-634.57
84,-851.89
85,-1039.12
86,-1162.32
87,-1189.49
88,-1094.98
89,-863.63
90,-493.95
91,-0.01
92,-0.01
93,-0.01
94,-0.01
95,-0.01
96,-0.01
97,-0.01
98,-0.01
99,-0.01
100,-0.01
101,-0.01
102,-0.01
103,-0.01
104,-1047.13
105,-2066.08
106,-2974.64
107,-3697.57
108,-4173.47
109,-4360.29
110,-4239.19
111,-3816.09
112,-3121.18
113,-2206.04
114,-1139.18
115,-0.01
116,-0.01
117,-0.01
118,-0.01
119,-0.01
120,-0.01
121,-0.01
122,-0.01
123,-0.01
124,-0.01
125,-0.01
126,-0.01
127,-0.01
128,-1002.61
129,-1923.86
130,-2706.33
131,-3302.16
132,-3675.39
133,-3803.60
134,-3678.95
135,-3308.53
136,-2714.08
137,-1931.11
138,-1007.25
139,-0.01
140,-0.01
141,-0.01
142,-0.01
143,-0.01
144,-0.01
145,-0.01
146,-0.01
147,-0.01
148,-0.01
149,-0.01
150,-0.01
151,-0.01
152,-1150.62
153,-2228.08
154,-3152.02
155,-3853.23
156,-4279.62
157,-4400.86
158,-4211.16
159,-3729.81
160,-2999.52
161,-2082.55
162,-1055.02
163,-0.01
164,-0.01
165,-0.01
166,-0.01
167,-0.01
168,-0.01
169,-0.01
170,-0.01
171,-0.01
172,-0.01
173,-0.01
174,-0.01
175,-0.01
176,-489.98
177,-854.29
178,-1079.46
179,-1167.73
180,-1135.10
181,-1008.01
182,-819.13
183,-602.90
184,-391.26
185,-210.15
186,-77.06
187,-0.01
188,-0.01
189,-1.09
190,-55.51
191,-123.67
192,-188.53
193,-235.83
194,-256.04
195,-245.40
196,-205.95
197,-144.70
198,-72.10
